"outcome","interaction_type","term","estimate","std_error","t_value","p_value","model_formula"
"oafem_adult_total","3-way","ecog_total:susd_depression:geo_fSuburban",0.415889340684668,0.143934757527886,2.88942954313237,0.00398338983659038,"oafem_adult_total ~ ecog_total * susd_depression * geo_f + demo_yrs"
"oafem_adult_total","3-way","ecog_total:susd_depression:geo_fRural",0.292529802028656,0.119564920226113,2.446618970476,0.014674742434789,"oafem_adult_total ~ ecog_total * susd_depression * geo_f + demo_yrs"
"oafem_adult_total","2-way","ecog_total:susd_depression",-0.226224313248467,0.0905158817081179,-2.49927757405006,0.0126814526006961,"oafem_adult_total ~ ecog_total * susd_depression * geo_f + demo_yrs"
"oafem_adult_total","2-way","susd_depression:geo_fSuburban",-0.775889844930263,0.212971031770878,-3.64317080345929,0.000289990048980168,"oafem_adult_total ~ ecog_total * susd_depression * geo_f + demo_yrs"
"oafem_adult_total","2-way","susd_depression:geo_fRural",-0.668338574924736,0.180647707752687,-3.69967924442038,0.000233474697709261,"oafem_adult_total ~ ecog_total * susd_depression * geo_f + demo_yrs"
"oafem_adult_total","3-way","ecog_total:susd_depression:mspss_total",0.00977345027311789,0.00311314190220208,3.13941689140628,0.00176622149472214,"oafem_adult_total ~ ecog_total * susd_depression * mspss_total + demo_yrs"
"oafem_adult_total","2-way","ecog_total:susd_depression",-0.559758646750289,0.190065764856069,-2.94507875826126,0.00333914781191068,"oafem_adult_total ~ ecog_total * susd_depression * mspss_total + demo_yrs"
"oafem_adult_total","2-way","ecog_total:mspss_total",-0.066083976234689,0.0370397525824435,-1.78413654593396,0.0748479309529234,"oafem_adult_total ~ ecog_total * susd_depression * mspss_total + demo_yrs"
"oafem_adult_total","2-way","susd_depression:mspss_total",0.00922807068207148,0.00248485577984706,3.71372485957292,0.000220927124072963,"oafem_adult_total ~ geo_f * susd_depression * mspss_total + demo_yrs"
"oafem_adult_total","2-way","ntb_total:mspss_total",0.00511725749851006,0.00217531933051909,2.35241668968618,0.0189351246702096,"oafem_adult_total ~ geo_f * ntb_total * mspss_total + demo_yrs"
"oafem_adult_total","2-way","ecog_total:minority",2.28567118947944,1.07717512385697,2.12191234169546,0.0342092807111255,"oafem_adult_total ~ ecog_total * minority * geo_f + demo_yrs"
"oafem_adult_total","3-way","ecog_total:minority:mspss_total",0.0952059623703742,0.0445096873579107,2.13899418355392,0.0327927238489461,"oafem_adult_total ~ ecog_total * minority * mspss_total + demo_yrs"
"oafem_adult_total","2-way","minority:mspss_total",-0.114373935918783,0.0588711125007606,-1.94278536722582,0.0524557267846134,"oafem_adult_total ~ ecog_total * minority * mspss_total + demo_yrs"
