source_variable,abbreviated_item_label,published_short_form_item,severity_group,severity_weight,reference
oafem_adult_1,"Poor reasons for spending money",17,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_2,"Convinced title to home be signed over",21,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_3,"Lied about spending money",23,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_4,"Refused accounting of spending",24,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_5,"Unexplained disappearance of funds or possessions",25,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_6,"Legal or financial documents frequently changed",27,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_7,"Persuaded to sign documents against best interest",28,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_8,"Payee used benefit check for self",30,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_9,"Changed direct-deposit destination",33,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_10,"Unusual bank withdrawals or transfers",42,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_11,"Unauthorized bank withdrawals",44,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_12,"Pressured or tricked into regretted purchase",45,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_13,"Pressured to modify will",52,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_14,"Forced to sign legal or financial documents",53,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_15,"Manipulated into larger gifts",54,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_16,"Pressured to co-sign loans",55,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_17,"Used money on themselves",59,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_18,"Borrowed money and did not repay",61,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_19,"Claimed purchase was for respondent but used it",62,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_20,"Switched expensive item for cheaper one",64,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_21,"Overcharged for poor or undone work",65,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_22,"Took advantage to obtain resources",68,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_23,"Prevented spending to preserve inheritance",69,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_24,"Took payment but never performed task",71,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_25,"Handled money irresponsibly or illegally",72,"Lesser Theft & Scams",2,"Conrad et al. (2010), Appendix"
oafem_adult_26,"Demanded money",75,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_27,"Allowed spending because afraid",77,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_28,"Used cultural or family expectations",78,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
oafem_adult_29,"Promised lifetime care but did not provide it",79,"Major Theft & Scams",3,"Conrad et al. (2010), Appendix"
oafem_adult_30,"Felt entitled to use money",81,"Entitlement / Expectation",1,"Conrad et al. (2010), Appendix"
