Variable Name,Description,Prompt,Options
demo_yrs,Age in years,"At the time of taking this survey, how old are you in years? ",Free
demo_gender,Gender,What is your gender? ,"[1, Male; 2, Female; 3, Non-Binary; 4, Other]"
demo_sab,Sex,What is your sex assigned at birth? ,"[1, Male; 2, Female; 3, Other; 4, Prefer not to say]"
demo_race,Race,What is your race?,"[1, American-Indian / Alaskan Native; 2, Asian; 3, Native Hawaiian or Pacific Islander; 4, Black or African American; 5, White; 6, Two or more races, or race not described (Other); 7, Prefer not to respond]"
demo_eth,Ethnicity,What is your ethnicity? ,"[1, Hispanic or Latino; 2, Not Hispanic or Latino; 3, Ethnicity not described (Other)]"
demo_state,FIPS State,In which state is your current primary residence?,
demo_zip_prim_yr,ZIP Code years of residence,How long have you lived in this zip code? ,"[1, Less than one year; 2, 1-5 years; 3, 6-10 years; 4, More than 10 years]"
demo_quota,Residence geographic type,How would you describe the area in which you live? ,"[1, Urban; 2, Suburban; 3, Rural]"
demo_state_ch,Childhood FIPS State,In which state did you spend most of your childhood (0-18 years)?,
ses_edu,Level of Education,What is the highest level of education you have completed? ,"[1, Less than highschool; 2, High School; 3, Trade qualification or certification (e.g., carpentry, hairdressing); 4, GED; 5, Some university; 6,Bachelor Degree; 7, Postgraduate Degree]"
ses_yoe,Years of Education,How many years of education do you have? (Graduating High School is 12 Years of Education),Free
ses_thi,Total Household Income,What is your total household income (before tax is taken out)? ,"[1, $0-$25,000; 2, $26,000-$50,000; 3, $51,000-$75,000; 4, $76,000-$100,000; 5, $101,000-$150,000; 6, $151,000-$200,000; 7, Greater than $200,000]"
ses_tpi,Total Personal Income,What is your total personal income (before tax is taken out)? ,"[1, $0-$25,000; 2, $26,000-$50,000; 3, $51,000-$75,000; 4, $76,000-$100,000; 5, $101,000-$150,000; 6, $151,000-$200,000; 7, Greater than $200,000]"
ses_rentown,Rent or Own Residence,Do you currently rent or own the place you live? ,"[1, Rent; 2, Own (pay mortgage)]"
ses_hhr,Household Members,How many members of your household are related to you? ,"[1, 1; 2, 2; 3, 3; 4, 4; 5, 5 or more; 6, I live alone; 7, I live with roomates] "
prob_gam,Yes to any item on BBGS,,
prob_gam_two,Yes to two items on BBGS,,
ecog_score,Sum of items / number of items completed,,
,,,
oafem_weighted_total,OAFEM severity-weighted sum of rated items,,0-124; higher indicates more exploitation indicators
oafem_items_rated,Number of OAFEM items with No/Suspected/Yes response,,0-30
ctb_mean,Convex Time Budget mean allocation score,,1-6; higher indicates stronger delayed-reward preference
promis_physical_function_t,PROMIS-29 v2.0 physical-function T score,,Higher indicates better function
promis_anxiety_t,PROMIS-29 v2.0 anxiety T score,,Higher indicates greater burden
promis_depression_t,PROMIS-29 v2.0 depression T score,,Higher indicates greater burden
promis_fatigue_t,PROMIS-29 v2.0 fatigue T score,,Higher indicates greater burden
promis_sleep_disturbance_t,PROMIS-29 v2.0 sleep-disturbance T score,,Higher indicates greater burden
promis_social_roles_t,PROMIS-29 v2.0 ability-to-participate T score,,Higher indicates better function
promis_pain_interference_t,PROMIS-29 v2.0 pain-interference T score,,Higher indicates greater burden
promis_pain_intensity,PROMIS pain intensity,,0-10
fraud_lifetime_band,Lifetime fraud-loss response band,,Ordinal category; not exact dollars
fraud_lifetime_any,Any lifetime fraud loss,,0/1
fraud_12mo_band,Past-12-month fraud-loss response band,,Ordinal category; not exact dollars
fraud_12mo_any,Any past-12-month fraud loss,,0/1
sdi_zcta,Robert Graham Center ZCTA Social Deprivation Index,,0-100; higher indicates more deprivation
pm25_2012_2022_zcta,Area-weighted current-ZCTA PM2.5 mean for 2012-2022,,Micrograms per cubic meter
socialcap_economic_connectedness,Opportunity Insights ZIP economic connectedness,,Higher indicates more cross-SES connectedness
gini_zcta,ACS 2024 five-year B19083 ZCTA Gini,,0-1; higher indicates more inequality
ruca_primary,USDA ERS 2020 primary RUCA ZIP code,,1-10
env_burden_simple,Exploratory equal-weight environmental-burden composite,,Higher indicates more burden; requires at least three prespecified components
